"","id","name","logo","output$form","played.home","played.away","played.total","wins.home","wins.away","wins.total","draws.home","draws.away","draws.total","loses.home","loses.away","loses.total","home","away","total","home","away","total"
"37",3,"Croatia","https://media.api-sports.io/football/teams/3.png","DWDDDLW",4,3,7,2,0,2,2,2,4,0,1,1,7,1,8,3,4,7
"38",21,"Denmark","https://media.api-sports.io/football/teams/21.png","DLL",1,2,3,0,0,0,1,0,1,0,2,2,0,1,1,0,3,3
"39",14,"Serbia","https://media.api-sports.io/football/teams/14.png","LDL",1,2,3,0,0,0,0,1,1,1,1,2,2,3,5,3,5,8
"40",10,"England","https://media.api-sports.io/football/teams/10.png","WDWWL",4,1,5,2,1,3,1,0,1,1,0,1,10,3,13,4,0,4
"41",24,"Poland","https://media.api-sports.io/football/teams/24.png","DWLL",2,2,4,1,0,1,0,1,1,1,1,2,2,1,3,2,3,5
"42",1118,"Netherlands","https://media.api-sports.io/football/teams/1118.png","WDWWD",4,1,5,2,1,3,2,0,2,0,0,0,8,2,10,4,0,4
"43",2,"France","https://media.api-sports.io/football/teams/2.png","WWLWWWD",4,3,7,4,1,5,0,1,1,0,1,1,11,5,16,3,5,8
"44",1,"Belgium","https://media.api-sports.io/football/teams/1.png","WLD",2,1,3,1,0,1,0,1,1,1,0,1,1,0,1,2,0,2
"45",27,"Portugal","https://media.api-sports.io/football/teams/27.png","WWLWL",3,2,5,3,0,3,0,0,0,0,2,2,11,1,12,3,3,6
"46",25,"Germany","https://media.api-sports.io/football/teams/25.png","WLWWWL",3,3,6,2,2,4,0,0,0,1,1,2,5,5,10,3,4,7
"47",15,"Switzerland","https://media.api-sports.io/football/teams/15.png","LLW",3,0,3,1,0,1,0,0,0,2,0,2,3,0,3,3,0,3
"48",9,"Spain","https://media.api-sports.io/football/teams/9.png","WWWDWW",2,4,6,1,4,5,1,0,1,0,0,0,4,8,12,1,2,3
"49",3,"Croatia","https://media.api-sports.io/football/teams/3.png","WWWD",2,2,4,1,2,3,1,0,1,0,0,0,3,2,5,2,0,2
"50",768,"Italy","https://media.api-sports.io/football/teams/768.png","LDWD",1,3,4,0,1,1,1,1,2,0,1,1,1,2,3,1,3,4
"51",24,"Poland","https://media.api-sports.io/football/teams/24.png","LDL",1,2,3,0,0,0,0,1,1,1,1,2,0,1,1,1,3,4
